shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
[@12.0.11838882@]10_20251005,-41.28331,174.762489,291,4919.386004998158
[@12.0.11838882@]10_20251005,-41.283108,174.762794,292,4953.356841269013
[@12.0.11838882@]10_20251005,-41.282948,174.762945,293,4975.168036583966
[@12.0.11838882@]10_20251005,-41.282392,174.763395,294,5047.529262968066
[@12.0.11838882@]10_20251005,-41.28231,174.763464,295,5058.316868973502
[@12.0.11838882@]10_20251005,-41.282234,174.763568,296,5070.438900272549
[@12.0.11838882@]10_20251005,-41.282107,174.763839,297,5097.1262270970765
[@12.0.11838882@]10_20251005,-41.281944,174.764192,298,5131.746563165566
[@12.0.11838882@]10_20251005,-41.280974,174.766285,299,5337.223942699667
[@12.0.11838882@]10_20251005,-41.280909,174.766424,300,5350.904530022518
[@12.0.11838882@]10_20251005,-41.280808,174.766638,301,5372.020781723699
[@12.0.11838882@]10_20251005,-41.280725,174.766816,302,5389.525237599685
[@12.0.11838882@]10_20251005,-41.2806624,174.7669412,303,5402.090830171775
[@12.0.11838882@]10_20251005,-41.28057662,174.7668983,304,5412.280369672525
[@12.0.11838882@]10_20251005,-41.2806624,174.7669412,305,5422.469909173275
[@12.0.11838882@]10_20251005,-41.280609,174.767048,306,5433.189208003412
[@12.0.11838882@]10_20251005,-41.28051,174.76722,307,5451.2932723642725
[@12.0.11838882@]10_20251005,-41.280385,174.767388,308,5471.048739807922
[@12.0.11838882@]10_20251005,-41.280279,174.767521,309,5487.249075098178
[@12.0.11838882@]10_20251005,-41.280029,174.767819,310,5524.570050607013
[@12.0.11838882@]10_20251005,-41.2793673,174.7686002,311,5622.932043491963
[@12.0.11838882@]10_20251005,-41.27929047,174.7685352,312,5633.055917767855
[@12.0.11838882@]10_20251005,-41.2793673,174.7686002,313,5643.179792043748
[@12.0.11838882@]10_20251005,-41.279266,174.76872,314,5658.249128082171
[@12.0.11838882@]10_20251005,-41.27911,174.768906,315,5681.540254324674
[@12.0.11838882@]10_20251005,-41.278918,174.769138,316,5710.378443826955
[@12.0.11838882@]10_20251005,-41.278858,174.769211,317,5719.418769446456
[@12.0.11838882@]10_20251005,-41.278881,174.76933,318,5729.686728454532
[@12.0.11838882@]10_20251005,-41.278943,174.769618,319,5754.721256909175
[@12.0.11838882@]10_20251005,-41.279147,174.77043,320,5826.266236463723
[@12.0.11838882@]10_20251005,-41.279264,174.77091,321,5868.4338140599175
[@12.0.11838882@]10_20251005,-41.279279,174.770978,322,5874.355684929811
[@12.0.11838882@]10_20251005,-41.279287,174.771043,323,5879.858665208189
[@12.0.11838882@]10_20251005,-41.279288,174.77111,324,5885.458246218608
[@12.0.11838882@]10_20251005,-41.279283,174.771165,325,5890.088721164528
[@12.0.11838882@]10_20251005,-41.279277,174.771204,326,5893.416881643298
[@12.0.11838882@]10_20251005,-41.279259,174.771267,327,5899.04936152838
[@12.0.11838882@]10_20251005,-41.279236,174.771317,328,5903.949354171093
[@12.0.11838882@]10_20251005,-41.279208,174.771367,329,5909.159571049633
[@12.0.11838882@]10_20251005,-41.279177,174.771407,330,5913.961089342286
[@12.0.11838882@]10_20251005,-41.279152,174.771432,331,5917.438889121786
[@12.0.11838882@]10_20251005,-41.27911,174.77147,332,5923.086549844076
[@12.0.11838882@]10_20251005,-41.278727,174.771801,333,5973.868219905715
[@12.0.11838882@]10_20251005,-41.278629,174.771889,334,5987.014634616154
[@12.0.11838882@]10_20251005,-41.278559,174.771952,335,5996.411324013501
[@12.0.11838882@]10_20251005,-41.278512,174.771994,336,6002.706480791749
[@12.0.11838882@]10_20251005,-41.278467,174.772043,337,6009.171855349024
[@12.0.11838882@]10_20251005,-41.278426,174.772092,338,6015.299420682543
[@12.0.11838882@]10_20251005,-41.278291,174.772282,339,6037.149423780442
[@12.0.11838882@]10_20251005,-41.278122,174.772524,340,6064.7553994449645
[@12.0.11838882@]10_20251005,-41.278061,174.772626,341,6075.6485935677065
[@12.0.11838882@]10_20251005,-41.278028,174.772687,342,6081.929417092433
[@12.0.11838882@]10_20251005,-41.278009,174.772725,343,6085.745774110253
[@12.0.11838882@]10_20251005,-41.277966,174.772814,344,6094.587519947005
[@12.0.11838882@]10_20251005,-41.277926,174.772922,345,6104.648884037247
[@12.0.11838882@]10_20251005,-41.277895,174.77305,346,6115.887009562959
[@12.0.11838882@]10_20251005,-41.277887,174.77314,347,6123.460453296167
[@12.0.11838882@]10_20251005,-41.277891,174.773368,348,6142.518607682595
[@12.0.11838882@]10_20251005,-41.27795,174.773614,349,6164.0971613200745
[@12.0.11838882@]10_20251005,-41.277959,174.773649,350,6167.1880349570165
[@12.0.11838882@]10_20251005,-41.278012,174.77381,351,6181.876359134105
[@12.0.11838882@]10_20251005,-41.278122,174.773999,352,6201.852993265568
[@12.0.11838882@]10_20251005,-41.278212,174.77413,353,6216.685419849933
[@12.0.11838882@]10_20251005,-41.2783398,174.7742976,354,6236.637676257844
[@12.0.11838882@]10_20251005,-41.27824806511681,174.77436762178218,355,6248.397030143564
[@12.0.11838882@]10_20251005,-41.2783398,174.7742976,356,6260.156384029284
[@12.0.11838882@]10_20251005,-41.278347,174.774307,357,6261.271622804739
