from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
8297,TAIT1,2,0,121__1__406__TZM__405__5__405__5_20251116,HVL__1__3825__RAIL__Rail_Xmas_Sat_20251116
WAIK,1501,2,120,KPL__0__6458__RAIL__Rail_SaSu_+_Hol_20251116,281__0__423__UZM__715__1__715__1_20251116
WAIK,1501,2,120,KPL__0__6458__RAIL__Rail_Xmas_Sat_20251116,281__0__423__UZM__715__1__715__1_20251116
WAIK,1501,2,120,KPL__0__6458__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116,281__0__423__UZM__715__1__715__1_20251116
1006,PARA1,2,0,250__0__103__UZM__4001__1__4001__1_20251116,KPL__1__6211__RAIL__Rail_MTuWThF-XHol_20251116
8140,WATE1,2,0,160__1__432__TZM__605__605_20251116,HVL__1__3841__RAIL__Rail_Xmas_Sat_20251116
9416,SILV,2,240,115__0__405__TZM__505__4__505__4_20251116,HVL__1__3821__RAIL__Rail_Xmas_Sat_20251116
8297,TAIT1,2,0,121__1__410__TZM__405__5__405__5_20251116,HVL__1__3833__RAIL__Rail_Xmas_Sat_20251116
8165,WATE1,2,0,130__1__172__TZM__432__1__432__1_20251116,HVL__1__3621__RAIL__Rail_MTuWThF-XHol_20251116
WATE2,9165,2,0,HVL__0__3814__RAIL__Rail_Xmas_Sat_+_Additional_X_Aftmid_20251116,130__0__107__TZM__412__5__412__5_20251116
WATE2,9165,2,0,HVL__0__2616__RAIL__Rail_MTuWThF-XHol_20251116,130__0__107__TZM__412__3__412__3_20251116
WATE2,9165,2,0,HVL__0__2616__RAIL__Rail_MTuWThF-XHol_20251116,130__0__107__TZM__412__5__412__5_20251116
8140,WATE1,2,0,170__0__111__TZM__602__4__602__4_20251116,HVL__1__2613__RAIL__Rail_MTuWThF-XHol_20251116
TAIT2,9251,2,0,HVL__0__3860__RAIL__Rail_SaSu_+_Hol_20251116,120__0__741__TZM__407__407_20251116
TAIT2,9251,2,0,HVL__0__3860__RAIL__Rail_Xmas_Sun+Hol_20251116,120__0__741__TZM__407__407_20251116
TAIT2,9251,2,0,HVL__0__3860__RAIL__Rail_Xmas_Day_20251116,120__0__741__TZM__407__407_20251116
6720,7720,2,120,7__0__167__TZM__103__6__103__6_20251116,29__1__122__TZM__233__1__233__1_20251116
6720,7720,2,120,7__0__167__TZM__103__3__103__3_20251116,29__1__122__TZM__233__233_20251116
7700,7720,2,30,7__1__172__TZM__148__1__148__1_20251116,29__1__122__TZM__233__1__233__1_20251116
7700,7720,2,30,7__1__172__TZM__148__1__148__1_20251116,29__1__122__TZM__233__233_20251116
WATE2,9165,2,0,HVL__0__2622__RAIL__Rail_MTuWThF-XHol_20251116,150__0__109__TZM__415__5__415__5_20251116
WATE2,9165,2,0,HVL__0__3818__RAIL__Rail_Xmas_Sat_+_Additional_X_Aftmid_20251116,150__0__109__TZM__415__5__415__5_20251116
1501,WAIK,2,240,280__0__131__UZM__4015__1__4015__1_20251116,KPL__1__6313__RAIL__Rail_MTuWThF-XHol_20251116
1501,WAIK,2,240,280__0__131__UZM__4015__4015_20251116,KPL__1__6313__RAIL__Rail_MTuWThF-XHol_20251116
1501,WAIK,2,240,280__0__717__UZM__102__1__102__1_20251116,KPL__1__6447__RAIL__Rail_Xmas_Day_20251116
PARA2,1004,2,0,KPL__0__6222__RAIL__Rail_MTuWThF-XHol_20251116,260__0__113__UZM__4005__1__4005__1_20251116
PARE,2600,2,240,KPL__0__6332__RAIL__Rail_MTuWThF-XHol_20251116,236__0__127__TZM__317__317_20251116
2600,PARE,2,240,236__1__104__TZM__307__6__307__6_20251116,KPL__1__6207__RAIL__Rail_MTuWThF-XHol_20251116
2600,PARE,2,240,236__1__104__TZM__307__8__307__8_20251116,KPL__1__6207__RAIL__Rail_MTuWThF-XHol_20251116
2600,PARE,2,240,236__1__104__TZM__307__2__307__2_20251116,KPL__1__6207__RAIL__Rail_MTuWThF-XHol_20251116
2003,PORI1,2,0,220__1__158__TZM__319__319_20251116,KPL__1__6313__RAIL__Rail_MTuWThF-XHol_20251116
2003,PORI1,2,0,220__1__158__TZM__319__1__319__1_20251116,KPL__1__6313__RAIL__Rail_MTuWThF-XHol_20251116
2001,PORI1,2,0,220__0__165__TZM__312__8__312__8_20251116,KPL__1__6313__RAIL__Rail_MTuWThF-XHol_20251116
2001,PORI1,2,0,220__0__165__TZM__312__1__312__1_20251116,KPL__1__6313__RAIL__Rail_MTuWThF-XHol_20251116
1006,PARA1,2,0,261__1__426__UZM__705__1__705__1_20251116,KPL__1__6463__RAIL__Rail_Xmas_Sat_20251116
WATE2,9165,2,0,HVL__0__2626__RAIL__Rail_MTuWThF-XHol_20251116,130__0__117__TZM__612__612_20251116
WATE2,9165,2,0,HVL__0__2626__RAIL__Rail_MTuWThF-XHol_20251116,130__0__117__TZM__612__1__612__1_20251116
PARA2,1004,2,0,KPL__0__6422__RAIL__Rail_Xmas_Sun+Hol_20251116,260__0__707__UZM__116__3__116__3_20251116
PARA2,1004,2,0,KPL__0__6422__RAIL__Rail_SaSu_+_Hol_20251116,260__0__707__UZM__116__3__116__3_20251116
PARA2,1004,2,0,KPL__0__6422__RAIL__Rail_Xmas_Day_20251116,260__0__707__UZM__116__3__116__3_20251116
8165,WATE1,2,0,150__1__416__TZM__406__5__406__5_20251116,HVL__1__3831__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116
8580,UPPE,2,240,111__0__133__TZM__524__1__524__1_20251116,HVL__1__3613__RAIL__Rail_MTuWThF-XHol_20251116
8580,UPPE,2,240,111__0__133__TZM__524__524_20251116,HVL__1__3613__RAIL__Rail_MTuWThF-XHol_20251116
1006,PARA1,2,0,262__1__418__UZM__713__1__713__1_20251116,KPL__1__6451__RAIL__Rail_Xmas_Sat_20251116
PORI2,2001,2,0,KPL__0__6460__RAIL__Rail_Xmas_Sat_20251116,210__0__423__TZM__312__4__312__4_20251116
PORI2,2001,2,0,KPL__0__6460__RAIL__Rail_SaSu_+_Hol_20251116,210__0__423__TZM__312__4__312__4_20251116
PORI2,2001,2,0,KPL__0__6460__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116,210__0__423__TZM__312__4__312__4_20251116
3081,3081,2,240,19__0__401__TZM__211__4__211__4_20251116,1__1__412__TZM__212__5__212__5_20251116
6733,6730,2,120,7__0__721__TZM__111__4__111__4_20251116,27__1__710__TZM__119__2__119__2_20251116
6733,6730,2,120,7__0__721__TZM__111__7__111__7_20251116,27__1__710__TZM__119__2__119__2_20251116
